N,x,h1,h2,h3,h4,h5
335, 870.953064, 5.820352, 6.887416, 10.767652, 7.469452, 4.462270
336, 873.552917, 5.044305, 5.432329, 9.215557, 7.469452, 5.141311
337, 876.152832, 4.462270, 4.462270, 7.469452, 7.857475, 6.111370
338, 878.752686, 3.589217, 4.074246, 5.626340, 8.342505, 7.081428
339, 881.352539, 2.910176, 3.492211, 3.880235, 8.730528, 8.245499
340, 883.952393, 2.328141, 3.104188, 2.425147, 8.633522, 9.215557
341, 886.552246, 2.134129, 2.522152, 1.552094, 8.439510, 10.185616
342, 889.152100, 2.716164, 2.231135, 1.067065, 8.439510, 10.476634
343, 891.751953, 3.492211, 2.037123, 0.970059, 8.245499, 10.573640
344, 894.351807, 4.947299, 2.231135, 1.261076, 7.857475, 10.282621
345, 896.951660, 5.917358, 2.522152, 1.455088, 6.887416, 9.797592
346, 899.551514, 7.372446, 3.007182, 1.552094, 6.402387, 9.118551
347, 902.151428, 8.342505, 3.298199, 2.134129, 5.335323, 8.051487
348, 904.751282, 9.409569, 3.880235, 3.007182, 4.171252, 6.887416
349, 907.351135, 9.700586, 4.365264, 4.171252, 3.007182, 5.529335
350, 909.950989, 9.894598, 5.141311, 5.238317, 2.328141, 4.656281
351, 912.550842, 9.894598, 5.626340, 6.208375, 2.037123, 3.589217
352, 915.150696, 9.797592, 6.499393, 7.469452, 1.164070, 2.910176
353, 917.750549, 9.021545, 7.081428, 8.536516, 0.485029, 2.134129
354, 920.350403, 7.857475, 7.469452, 9.797592, 0.000000, 1.746106
355, 922.950256, 6.111370, 7.469452, 11.155675, 0.000000, 1.843112
356, 925.550171, 5.044305, 7.566458, 12.610763, 0.000000, 2.134129
357, 928.150024, 4.268258, 7.469452, 14.259862, 0.000000, 2.619159
358, 930.749878, 4.171252, 7.372446, 15.811956, 0.388023, 2.910176
359, 933.349731, 4.074246, 7.275440, 16.588003, 0.679041, 3.298199
360, 935.949585, 3.589217, 6.984422, 15.811956, 1.164070, 3.492211
361, 938.549438, 2.813170, 6.208375, 13.677827, 1.843112, 3.201194
362, 941.149292, 2.037123, 5.335323, 11.446692, 3.492211, 3.395205
363, 943.749146, 1.649100, 4.656281, 9.603580, 4.947299, 3.977241
